id,name,sort_no,discriminator_type
1,Sản phẩm CSV,3,csvtype
2,Khách hàng CSV,4,csvtype
3,Đơn hàng CSV,1,csvtype
4,Giao hàng CSV,1,csvtype
5,Danh mục nhóm CSV,5,csvtype
